"","SampleID","studyid","month","DNA"
"449","1_19",1715,0,92
"450","5_62",1716,0,390
"451","3_82",1728,0,150
"452","4_20",1731,0,23.8
"453","5_66",1735,0,32
"454","5_10",1736,0,376
"455","7_27",1756,0,300
"456","4_5",1762,0,232
"457","2_94",1767,0,216
"458","1_91",1778,0,51.6
"459","1_12",1783,0,200
"460","2_79",1795,0,224
"461","4_83",1797,0,228
"462","6_8",1800,0,312
"463","1_33",1801,0,480
"464","5_60",1806,0,92.4
"465","7_49",1824,0,74.8
"466","6_72",1843,0,424
"467","1_43",1861,0,204
"468","3_57",1864,0,375
"469","6_75",1882,0,320
"470","6_5",1883,0,61.6
"471","3_3",1888,0,336
"472","4_17",1898,0,334
"473","5_83",1899,0,54
"474","5_99",1092,0,324
"475","4_22",1547,0,144
"476","4_94",1782,0,400
"477","5_88",1079,0,31.5
"478","4_36",1047,0,15.1
"479","5_56",1172,0,252
"480","1_26",1244,0,159
"481","1_10",1291,0,145
"482","1_15",1768,0,300
"483","1_100",1650,0,70.4
"484","2_100",1663,0,44.8
"485","5_100",1432,0,46
"486","6_100",1304,0,91.2
"487","4_100",1828,0,181
"488","4_71",1002,12,372
"489","7_18",1028,12,83.2
"490","5_25",1030,12,292
"491","6_97",1033,12,356
"492","6_96",1039,12,536
"493","6_95",1062,12,536
"494","4_73",1063,12,332
"495","7_53",1074,12,276
"496","6_31",1077,12,352
"497","5_44",1079,12,264
"498","7_5",1082,12,352
"499","6_46",1092,12,244
"500","4_97",1098,12,340
"501","3_88",1100,12,360
"502","5_45",1101,12,464
"503","6_30",1121,12,296
"504","6_21",1151,12,200
"505","6_38",1161,12,256
"506","6_61",1164,12,163
"507","4_32",1183,12,282
"508","7_46",1188,12,376
"509","6_20",1198,12,272
"510","6_63",1208,12,300
"511","7_71",1218,12,288
"512","5_71",1219,12,284
"513","5_28",1234,12,272
"514","6_86",1236,12,334
"515","5_26",1238,12,344
"516","5_30",1241,12,400
"517","3_83",1249,12,274
"518","6_66",1262,12,348
"519","7_10",1266,12,284
"520","6_59",1274,12,54.8
"521","6_43",1280,12,316
"522","6_84",1282,12,332
"523","6_39",1288,12,408
"524","5_93",1289,12,198
"525","6_41",1298,12,280
"526","7_54",1301,12,320
"527","7_33",1304,12,248
"528","4_42",1324,12,252
"529","7_44",1326,12,286
"530","6_29",1327,12,376
"531","4_19",1331,12,448
"532","5_96",1337,12,151
"533","7_43",1353,12,364
"534","7_9",1356,12,204
"535","6_62",1361,12,304
"536","6_81",1373,12,224
"537","6_45",1386,12,336
"538","7_29",1394,12,372
"539","7_6",1395,12,167
"540","5_70",1404,12,344
"541","6_60",1413,12,208
"542","5_97",1420,12,296
"543","7_57",1425,12,192
"544","6_64",1444,12,292
"545","4_98",1446,12,440
"546","6_44",1454,12,78.8
"547","4_72",1499,12,308
"548","5_46",1502,12,464
"549","7_58",1504,12,216
"550","7_68",1505,12,400
"551","3_94",1510,12,432
"552","7_67",1516,12,334
"553","4_50",1519,12,314
"554","7_66",1524,12,392
"555","6_18",1529,12,400
"556","7_30",1536,12,149
"557","6_94",1540,12,488
"558","6_32",1554,12,276
"559","7_42",1562,12,348
"560","4_96",1563,12,236
"561","4_99",1564,12,252
"562","7_7",1573,12,216
"563","7_32",1576,12,380
"564","6_47",1593,12,232
"565","6_82",1596,12,356
"566","6_98",1611,12,354
"567","5_27",1621,12,180
"568","6_28",1632,12,356
"569","5_48",1634,12,240
"570","7_8",1639,12,332
"571","7_21",1642,12,292
"572","6_19",1649,12,400
"573","7_34",1678,12,304
"574","5_95",1679,12,348
"575","7_23",1680,12,376
"576","7_56",1682,12,306
"577","7_69",1684,12,344
"578","5_49",1685,12,340
"579","7_22",1686,12,106
"580","6_42",1697,12,376
"581","5_92",1700,12,400
"582","7_31",1711,12,288
"583","5_47",1722,12,176
"584","7_45",1726,12,384
"585","6_27",1735,12,240
"586","6_83",1738,12,308
"587","5_69",1741,12,204
"588","6_17",1751,12,320
"589","5_68",1754,12,288
"590","6_93",1756,12,400
"591","6_85",1773,12,236
"592","6_40",1779,12,400
"593","4_43",1784,12,200
"594","5_67",1802,12,284
"595","4_31",1823,12,284
"596","7_55",1824,12,288
"597","6_37",1828,12,204
"598","4_74",1831,12,398
"599","5_72",1841,12,400
"600","7_19",1843,12,284
"601","7_41",1844,12,300
"602","5_29",1847,12,368
"603","4_7",1851,12,276
"604","4_8",1854,12,260
"605","7_20",1862,12,320
"606","5_94",1875,12,304
"607","7_70",1882,12,448
"608","4_49",1891,12,156
"609","6_65",1899,12,380
"610","3_100",1744,12,300
